datetime,direction,toll_point,rate,pbm_rate
2018-01-01 00:00:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 00:00:00,NB,CVZ to 183,0.25,0.33
2018-01-01 00:00:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 00:00:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 00:00:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 00:00:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 00:30:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 00:30:00,NB,CVZ to 183,0.25,0.33
2018-01-01 00:30:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 00:30:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 00:30:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 00:30:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 01:00:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 01:00:00,NB,CVZ to 183,0.25,0.33
2018-01-01 01:00:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 01:00:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 01:00:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 01:00:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 01:30:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 01:30:00,NB,CVZ to 183,0.25,0.33
2018-01-01 01:30:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 01:30:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 01:30:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 01:30:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 02:00:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 02:00:00,NB,CVZ to 183,0.25,0.33
2018-01-01 02:00:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 02:00:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 02:00:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 02:00:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 02:30:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 02:30:00,NB,CVZ to 183,0.25,0.33
2018-01-01 02:30:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 02:30:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 02:30:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 02:30:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 03:00:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 03:00:00,NB,CVZ to 183,0.25,0.33
2018-01-01 03:00:00,NB,CVZ to Parmer,0.5,0.66
2018-01-01 03:00:00,SB,2222 to 5th/CVZ,0.25,0.33
2018-01-01 03:00:00,SB,Parmer to 2222,0.25,0.33
2018-01-01 03:00:00,SB,Parmer to 5th/CVZ,0.5,0.66
2018-01-01 03:30:00,NB,2222 to Parmer,0.25,0.33
2018-01-01 03:30:00,NB,CVZ to 183,0.25,0.33
2018-01-01 03:30:00,NB,CVZ to Parmer,0.5,0.66
